Year,Jurisdiction,Fate,Amount,Percentage of plastic recovered,Total plastic generated
2016-2017,ACT,Disposed,24223,,
2016-2017,ACT,Recycled,1900,7.27 %,26123
2016-2017,NSW,Disposed,732853,,
2016-2017,NSW,Recycled,88100,10.73 %,820953
2016-2017,NT,Disposed,33872,,
2016-2017,NT,Recycled,594,1.72 %,34466
2016-2017,QLD,Disposed,603520,,
2016-2017,QLD,Recycled,41383,6.42 %,644903
2016-2017,SA,Disposed,47404,,
2016-2017,SA,Recycled,28479,27.29 %,104353
2016-2017,SA,Energy recovery,28470,27.28 %,<Energy Recovery
2016-2017,TAS,Disposed,67585,,
2016-2017,TAS,Recycled,1900,2.73 %,69485
2016-2017,VIC,Disposed,486457,,
2016-2017,VIC,Recycled,130695,21.18 %,617152
2016-2017,WA,Disposed,327579,,
2016-2017,WA,Recycled,13097,3.84 %,340676
,,,,,
,,National Average Percentage,,11.52 %,
,,Total plastic generated,,2658111,
